Country,Year,Life expectancy,GDP
Canada,2000,79.2335,36942.562
Canada,2001,79.4507,37307.207
Canada,2002,79.568,38123.99
Canada,2003,79.7396,38559.977
Canada,2004,80.0332,39491.57
Canada,2005,80.1364,40485.02
Canada,2006,80.5466,41247.15
Canada,2007,80.5495,41806.863
Canada,2008,80.7388,41896.426
Canada,2009,81.0737,40312.62
Canada,2010,81.3469,41209.426
Canada,2011,81.5286,42197
Canada,2012,81.7221,42476.344
Canada,2013,81.8029,43008.83
Canada,2014,81.8545,43800.64
Canada,2015,81.9246,43761.527
Canada,2016,82.0434,43702.08
Canada,2017,82.0192,44493.652
Canada,2018,82.0508,45087.887
Canada,2019,82.3628,45284.215
Canada,2020,82.0471,42493.63
Canada,2021,82.6565,44379.594
