workDate,itemID,duration,rateApplied,payout,payType
"Jun 17, 2024","666fd28a748c5c430d3a61d8","-","-","$70.00","Mission Bonus"
"Jun 17, 2024","666faa85b067d2e4c470f9e6","52m 18s","$50","$41.67","Task Pay"
"Jun 17, 2024","666f7f81ab67e9e01a6fd18a","1h 2m 22s","$50","$41.67","Task Pay"
"Jun 16, 2024","666f6336e00ebe9388fb8157","1h 10m 37s","$50","$41.67","Task Pay"
"Jun 16, 2024","666f529d267466b9cccb7d9f","1h 32m 38s","$50","$41.67","Task Pay"
"Jun 16, 2024","666f079e154fe3aaf47ad4f3","1h 3m 25s","$50","$41.67","Task Pay"
"Jun 15, 2024","666e2902510598420d292797","1h 2m 14s","$50","$41.67","Task Pay"
"Jun 15, 2024","666e17ea9bf818cfbbeee1c9","10m 22s","$15","$2.59","Adjusted"
"Jun 15, 2024","666e16753512687c12c22104","6m 4s","$15","$1.52","Adjusted"
"Jun 15, 2024","666e1388d6e7d8842e7ecf88","11m 9s","$15","$2.79","Adjusted"
"Jun 15, 2024","666e0ad8c5f316d560162a2f","36m 49s","$15","$6.25","Adjusted"
"Jun 14, 2024","666c67a148f60f43d73c4587","58m 26s","$50","$41.67","Task Pay"
"Jun 14, 2024","666bcb9b0ec4b5ff732ba1e3","1h 15m 43s","$50","$41.67","Task Pay"
